637000949767303624,1,0.02,9.284328,7.52788,-4.247891,0,0,0,0,0,0
637000949767303624,1,0.04,9.284328,7.386616,-4.247891,0,0,0,0,0,0
637000949767303624,1,0.06,9.284328,7.241428,-4.247891,0,0,0,0,0,0
637000949767303624,1,0.08,9.284328,7.092316,-4.247891,0,0,0,0,0,0
637000949767303624,1,0.09999999,9.284328,7.114464,-4.247891,0,0,0,0,0,0
637000949767303624,1,0.12,8.849095,7.118894,-2.47706,0,0,0,0,0,0
637000949767303624,1,0.14,8.849095,7.11497,-2.47706,0,0,0,0,0,0
637000949767303624,1,0.16,8.849095,7.107122,-2.47706,0,0,0,0,0,0
637000949767303624,1,0.18,8.849095,7.101425,-2.47706,0,0,0,0,0,0
637000949767303624,1,0.2,8.849095,7.100286,-2.477061,0,0,0,0,0,0
637000949767303624,1,0.22,8.413861,7.100058,-0.7062331,0,0,0,0,0,0
637000949767303624,1,0.24,8.413861,7.100012,-0.7062331,0,0,0,0,0,0
637000949767303624,1,0.26,8.413861,7.100002,-0.7062331,0,0,0,0,0,0
637000949767303624,1,0.28,8.413861,7.1,-0.706233,0,0,0,0,0,0
637000949767303624,1,0.3,8.413861,7.1,-0.706233,0,0,0,0,0,0
637000949767303624,1,0.32,7.329732,7.1,3.704879,0,0,0,0,0,0
637000949767303624,1,0.34,7.329732,7.1,3.70488,0,0,0,0,0,0
637000949767303624,1,0.36,7.329732,7.1,3.70488,0,0,0,0,0,0
637000949767303624,1,0.38,7.329732,7.1,3.704881,0,0,0,0,0,0
637000949767303624,1,0.4,7.329732,7.1,3.704882,0,0,0,0,0,0
637000949767303624,1,0.42,7.329732,7.1,3.704879,0,0,0,0,0,0
637000949767303624,1,0.4400001,7.329732,7.1,3.70488,0,0,0,0,0,0
637000949767303624,1,0.4600001,7.329732,7.1,3.70488,0,0,0,0,0,0
637000949767303624,1,0.4800001,7.329732,7.1,3.704881,0,0,0,0,0,0
637000949767303624,1,0.5000001,7.329732,7.1,3.704879,0,0,0,0,0,0
637000949767303624,1,0.52,7.329732,7.1,3.70488,0,0,0,0,0,0
637000949767303624,1,0.54,7.329732,7.1,3.70488,0,0,0,0,0,0
637000949767303624,1,0.56,7.329732,7.1,3.704881,0,0,0,0,0,0
